"","X","estimate","SE","df","t.ratio","pval","padj","fold_change","gene","Chr","male_fold_change","female_fold_change","female_direction","male_direction","opp"
"ILMN_1688755","ILMN_1688755",0.144658676133488,0.0182131103114235,291.013402522026,7.94255751269217,4.355056691857e-14,3.31158510848806e-10,-1.10464285022864,"AAK1","2",-1.08459849063279,-1.14810819235601,"negative","negative",0
"ILMN_1653165","ILMN_1653165",0.149635644234834,0.0165410908902338,289.605676302445,9.04629841089754,2.20440279301515e-17,1.84155809328486e-13,-1.1046979975346,"AAMP","2",-1.09324216485623,-1.12923608665927,"negative","negative",0
"ILMN_1662364","ILMN_1662364",0.251429861704464,0.0165661478230356,290.859420610909,15.1773281507753,1.00796753933018e-38,1.1289236440498e-34,-1.19343870670356,"AARS","16",-1.17996705288909,-1.2223363540438,"negative","negative",0
"ILMN_1674698","ILMN_1674698",0.188831137703367,0.017744282900867,290.232589310208,10.6418015739672,1.51231383009579e-22,1.40115876358375e-18,-1.14102235741983,"AARS2","6",-1.12627986607848,-1.17272751632198,"negative","negative",0
"ILMN_1700461","ILMN_1700461",0.194652866925844,0.0169161962663635,290.48983736276,11.5068933855358,1.69344098975563e-25,1.64517792154759e-21,-1.14827014634359,"AARSD1","17",-1.13624358328496,-1.17403492081134,"negative","negative",0
"ILMN_1784269","ILMN_1784269",0.14473896819378,0.0196742331731924,289.694318429675,7.35677812292058,1.94862132610151e-12,1.40437138972136e-08,-1.11085637671585,"AASDH","4",-1.08651003248937,-1.16396819265415,"negative","negative",0
"ILMN_1687609","ILMN_1687609",-0.260428553315173,0.0216056615354412,290.09351359014,-12.0537180908798,2.13165503227651e-27,2.12803121872164e-23,1.20785742921485,"AATK","17",1.20379701663112,1.21645976194479,"positive","positive",0
"ILMN_1766054","ILMN_1766054",-0.135863072837701,0.0201564148035867,293.372179399805,-6.74043842427403,8.36719894468742e-11,5.6185740913576e-07,1.09400937352213,"ABCA1","9",1.05724453656886,1.17573251944969,"positive","positive",0
"ILMN_1747627","ILMN_1747627",-0.119149370716667,0.0237932197988971,290.083299323036,-5.00770268688856,9.58017572660446e-07,0.00484469486494388,1.08046830328965,"ABCA2","9",1.06918783497288,1.10463343691589,"positive","positive",0
"ILMN_1743205","ILMN_1743205",-0.241376664119634,0.0197027269886601,292.103701470344,-12.2509266995659,3.98965634303989e-28,4.0211746281499e-24,1.18502375672691,"ABCA7","19",1.16183083830404,1.23543072806458,"positive","positive",0
"ILMN_2193980","ILMN_2193980",-0.0880590460294371,0.0160649270821681,289.798989500085,-5.4814469794377,9.17959391403234e-08,0.000509834645985356,1.06874228306331,"ABCB6","2",1.05724608002114,1.09338182996043,"positive","positive",0
"ILMN_1709092","ILMN_1709092",-0.104490862831718,0.0191608531137911,290.387820504316,-5.45335127883792,1.05818693516367e-07,0.000584648281677928,1.09052225859134,"ABCC13","21",1.07790867769781,1.11759114823264,"positive","positive",0
"ILMN_1706531","ILMN_1706531",-0.291969935276484,0.021207049371902,291.029732543375,-13.7675887935323,1.48802202022965e-33,1.59605241889832e-29,1.22805331699482,"ABCC5","3",1.19416350975112,1.30265945189525,"positive","positive",0
"ILMN_1651964","ILMN_1651964",-0.261104667644825,0.0170453435808534,291.293607709893,-15.3182402223981,2.94345202018674e-39,3.30549661866971e-35,1.19835860671353,"ABCC5","3",1.17223299062944,1.25534141925457,"positive","positive",0
"ILMN_2330267","ILMN_2330267",0.209837098110656,0.0215116322894944,289.885382097033,9.75458743840342,1.26339275824596e-19,1.1095115202916e-15,-1.16512963800488,"ABCE1","4",-1.13097566486178,-1.24052517543585,"negative","negative",0
"ILMN_1676846","ILMN_1676846",0.190631550033023,0.0204889056484721,290.085751546522,9.30413528685651,3.42577711566702e-18,2.91396601458637e-14,-1.1498593947162,"ABCE1","4",-1.12695529892733,-1.19966616086656,"negative","negative",0
"ILMN_2392635","ILMN_2392635",0.240155644856631,0.0158830134498898,290.123774529823,15.1202821564252,1.72489130537532e-38,1.92704856636531e-34,-1.18248864954352,"ABCF1","6",-1.15230867320466,-1.24870717929205,"negative","negative",0
"ILMN_1763875","ILMN_1763875",0.241082910988085,0.0155615935918543,289.995380320562,15.4921737009171,7.37211973730309e-40,8.30543009604566e-36,-1.18276441855809,"ABCF1","6",-1.16306661502885,-1.225377320806,"negative","negative",0
"ILMN_1781999","ILMN_1781999",0.207474179714563,0.0170274761153266,290.175567016154,12.1846701360405,7.35770020200526e-28,7.39007408289408e-24,-1.15610035225181,"ABCF2","7",-1.13192434034993,-1.20875615624208,"negative","negative",0
"ILMN_1658176","ILMN_1658176",-0.147675296574282,0.019817564503518,290.014241080898,-7.45173790392187,1.06517552001474e-12,7.74382603050716e-09,1.11638189660992,"ABCG1","21",1.10333958648902,1.14437596437375,"positive","positive",0
"ILMN_2329927","ILMN_2329927",-0.35690611178727,0.026224574522595,291.231585950544,-13.60960542867,5.52516537738867e-33,5.89148384190954e-29,1.27729313575038,"ABCG1","21",1.22169219924436,1.40289929276502,"positive","positive",0
"ILMN_1794782","ILMN_1794782",-0.304667051452951,0.0276406065375871,290.792355930407,-11.0224444980485,7.71239304608059e-24,7.29515258228763e-20,1.22894132516259,"ABCG1","21",1.16927489804614,1.36484814687103,"positive","positive",0
"ILMN_1770031","ILMN_1770031",0.104737458785696,0.0195669060351253,289.97034687296,5.35278590277264,1.76307632218312e-07,0.000952766444507758,-1.07484023014465,"ABHD10","3",-1.05569073350673,-1.1163433896321,"negative","negative",0
"ILMN_1794213","ILMN_1794213",0.281562654759781,0.0183556395274856,290.521338030807,15.3392996380307,2.60370442148425e-39,2.92526191753756e-35,-1.21511640512901,"ABHD14A","3",-1.19610703088418,-1.2561742691902,"negative","negative",0
"ILMN_2227533","ILMN_2227533",0.177967705653651,0.0192845116361913,290.034324468964,9.22853059548877,5.92284858331654e-18,5.01665275006911e-14,-1.12988575200087,"ABHD14B","3",-1.10097366837396,-1.19332908743311,"negative","negative",0
"ILMN_1769390","ILMN_1769390",0.164119768212762,0.0192487344310251,289.926907659063,8.52626279410003,8.46883043986449e-16,6.78732653221648e-12,-1.12457923169586,"ABHD15","17",-1.11245185642946,-1.15057266667925,"negative","negative",0
"ILMN_2403446","ILMN_2403446",-0.254696085205405,0.0205869982388,290.689244461246,-12.3716960700654,1.5751153544603e-28,1.59543434253284e-24,1.19882446696019,"ABHD2","15",1.15816611908492,1.28924763812453,"positive","positive",0
"ILMN_1723662","ILMN_1723662",-0.258097723292355,0.0236670003715116,290.724175000923,-10.9053838357577,1.92999619252766e-23,1.81381042173749e-19,1.19718524972535,"ABHD2","15",1.14570239996219,1.31338806210036,"positive","positive",0
"ILMN_1801767","ILMN_1801767",-0.192213985227981,0.0167269839715439,291.228485179022,-11.491251833264,1.87378099562553e-25,1.81812970005545e-21,1.13100528972394,"ABHD3","18",1.11529685867441,1.16483949024483,"positive","positive",0
"ILMN_1700633","ILMN_1700633",-0.185145745989652,0.0177922286902934,290.398551793192,-10.4059895594001,9.22411625449616e-22,8.42991984498404e-18,1.14070977909605,"ABHD4","14",1.12889427839971,1.16601778670184,"positive","positive",0
"ILMN_1655702","ILMN_1655702",-0.593796022544146,0.0299552412230125,290.634110583113,-19.8227755244373,6.49205618831423e-56,7.67036438649326e-52,1.50407846915018,"ABHD5","3",1.44727483862568,1.63120015245653,"positive","positive",0
"ILMN_2329958","ILMN_2329958",-0.0945248371993805,0.0166483740707974,289.6442722661,-5.6777218482365,3.31592805484358e-08,0.000190466907470215,1.06063958560647,"ABI1","10",1.04120083450042,1.10280386442364,"positive","positive",0
"ILMN_1713732","ILMN_1713732",0.117024488319852,0.0173828332634495,289.605676302451,6.73218724164582,8.96279186672947e-11,6.01044822582878e-07,-1.08567622366302,"ABL1","9",-1.08114291062568,-1.09529264438492,"negative","negative",0
"ILMN_1785424","ILMN_1785424",0.324078895259672,0.0182994580166048,292.241294278704,17.7097537514829,3.48565123959507e-48,4.0586923033845e-44,-1.25183696278888,"ABLIM1","10",-1.21292230366567,-1.33798750127835,"negative","negative",0
"ILMN_1731610","ILMN_1731610",0.198707066990848,0.0198105169442182,291.181128705881,10.0303827280409,1.5680842954468e-20,1.40202416855898e-16,-1.14461695029823,"ABLIM1","10",-1.12187861096629,-1.19405905031834,"negative","negative",0
"ILMN_2396672","ILMN_2396672",0.281038491263501,0.0201580518539447,291.233260162635,13.9417486024824,3.41166228880373e-34,3.68220710830587e-30,-1.2166185076444,"ABLIM1","10",-1.18227318564176,-1.29230446110544,"negative","negative",0
"ILMN_1656940","ILMN_1656940",-0.10580307567579,0.0208291839450774,290.510707903115,-5.07955933150204,6.77696696267877e-07,0.00347726174855048,1.08510210632324,"ABLIM3","5",1.09860563892675,1.05718409718049,"positive","positive",0
"ILMN_1672878","ILMN_1672878",-0.154508215130203,0.0137440981397802,290.265274378083,-11.2417863695983,1.39487425266184e-24,1.33656850890058e-20,1.10925077600282,"ABR","17",1.07810161850189,1.17787699512402,"positive","positive",0
"ILMN_1655114","ILMN_1655114",-0.241730437212261,0.0196630623371802,289.958291059462,-12.2936312293117,3.06155578902845e-28,3.09033441344532e-24,1.1849360131668,"ABR","17",1.15800263392153,1.2437677630223,"positive","positive",0
"ILMN_1802096","ILMN_1802096",-0.393198570972645,0.0209293783183548,290.861188317296,-18.7869207098146,4.12151510745912e-52,4.84442885730745e-48,1.31973843206197,"ABTB1","3",1.27996655799482,1.40765198399747,"positive","positive",0
"ILMN_2367165","ILMN_2367165",-0.463739807153848,0.0236047072840272,290.819339889341,-19.646073199461,2.81904325391439e-55,3.32872627422211e-51,1.38878309083792,"ABTB1","3",1.36434150606894,1.44173769180534,"positive","positive",0
"ILMN_1738921","ILMN_1738921",-0.146616086718938,0.0130129626864835,290.641194955867,-11.2669259300364,1.13102214767029e-24,1.08566815954871e-20,1.10703994684966,"ACAA1","3",1.09657641853821,1.12942021160757,"positive","positive",0
"ILMN_1660199","ILMN_1660199",0.186665044373276,0.0191220769486029,289.927063960571,9.76175573788359,1.19700632554846e-19,1.05180945825943e-15,-1.14386755866554,"ACAA2","18",-1.11756043375838,-1.20135600568962,"negative","negative",0
"ILMN_2331636","ILMN_2331636",0.179777256651428,0.0192493980484595,289.786004471377,9.33937031167663,2.66614862921195e-18,2.27449139558071e-14,-1.13420731052784,"ACACA","17",-1.10381602294342,-1.20102569442308,"negative","negative",0
