"","Estimate","Std. Error","t value","Pr(>|t|)","Padj","gene"
"ILMN_1814092",-0.0642838441930083,0.0324965715470685,-1.97817311589005,0.0488857701594153,0.234797307961011,"AACSP1"
"ILMN_1784269",0.0724171160718319,0.0298593821333169,2.42527175373228,0.0159271683503991,0.151525526411117,"AASDH"
"ILMN_1709092",-0.0627645204112526,0.0318491454385534,-1.97068145932971,0.0497417076171221,0.235531796746846,"ABCC13"
"ILMN_2392635",0.0624021486853263,0.0252436406261708,2.47199481284931,0.0140286484971929,0.144624267620008,"ABCF1"
"ILMN_1763875",0.0533408258563093,0.0231157706647247,2.30755126575593,0.0217508322343711,0.167016313584537,"ABCF1"
"ILMN_2329927",-0.14253703426397,0.0494678883775327,-2.8814052699429,0.00426430548464196,0.0929373205829709,"ABCG1"
"ILMN_1794782",-0.113759960185114,0.0455710397384169,-2.49632136633505,0.0131219803758538,0.140899760633832,"ABCG1"
"ILMN_2227533",0.0857731679491631,0.0310932979545678,2.75857414914594,0.00618637717585907,0.105093774190825,"ABHD14B"
"ILMN_2403446",-0.100050459213602,0.0374258292226548,-2.67329973154046,0.0079502507689888,0.115633991882524,"ABHD2"
"ILMN_1723662",-0.116758630050985,0.0441834376475951,-2.64258817935911,0.00868893267652221,0.118489473946551,"ABHD2"
"ILMN_1655702",-0.108358254879949,0.0519822086202237,-2.08452579750127,0.0380152917151353,0.208866426400061,"ABHD5"
"ILMN_1785424",0.139701630672893,0.0384036701422494,3.63771561820604,0.000327191580631068,0.0478577538791346,"ABLIM1"
"ILMN_1731610",0.108016571957065,0.0390055960090106,2.76925833749886,0.00599238087150667,0.104596729751543,"ABLIM1"
"ILMN_2396672",0.11405079508926,0.0371898825476018,3.06671565696069,0.00237511893749998,0.0802300745361603,"ABLIM1"
"ILMN_1672878",-0.0640310752539339,0.0232669002850134,-2.75202431220188,0.00630809797330241,0.105500920247843,"ABR"
"ILMN_1802096",-0.0922969726935431,0.039762738968865,-2.32119253067082,0.0209919762359506,0.165271904325576,"ABTB1"
"ILMN_1708672",0.0582181606368407,0.0256972543155369,2.26554012043385,0.0242406662722747,0.174579323220579,"ACAT2"
"ILMN_1679600",-0.0750512188482548,0.0308635246616392,-2.43171250435752,0.015652634856657,0.151401372960277,"ACOT8"
"ILMN_1750158",-0.110322985077434,0.0505337835512061,-2.18315307749801,0.0298519475014175,0.190468441433736,"ACOX1"
"ILMN_1669633",0.053580982492417,0.0270241700027403,1.98270594386373,0.0483739456533971,0.234227623636694,"ACP1"
"ILMN_2336595",-0.0662237212180666,0.0224900466130375,-2.94457910014631,0.00350430975733403,0.0880618317977609,"ACSS2"
"ILMN_1714197",-0.0496523078444637,0.023307215541843,-2.13034061298845,0.0340120287203604,0.199865931273231,"ACSS2"
"ILMN_2152131",-0.0414174460086503,0.0176770287651343,-2.34300948190688,0.0198264869602001,0.162271406268402,"ACTB"
"ILMN_1749297",0.0703659680548941,0.0245393729102852,2.86747213598932,0.00445096429529342,0.0932043208101423,"ACTL6A"
"ILMN_2328280",0.0620562529257202,0.028487823395751,2.17834307885298,0.0302117119060937,0.191159982011467,"ACTL6A"
"ILMN_2232177",-0.0797796707740947,0.0387471663550034,-2.05898077921749,0.0404175616210827,0.214315728958251,"ACTN1"
"ILMN_1695821",0.0512819756778889,0.0220601138313667,2.32464692022451,0.0208035303122406,0.164709629067499,"ACTR1B"
"ILMN_2388605",-0.0456178032869279,0.022227527242695,-2.05231120802788,0.0410656722481058,0.215531261698329,"ACTR2"
"ILMN_1697585",0.0769550256229683,0.0358008991189207,2.14952773580755,0.0324463382278592,0.197003976080385,"ACTR6"
"ILMN_1760490",0.062394731308331,0.0296588726312849,2.10374588690588,0.0362892773073056,0.205424688127347,"ACVR1"
"ILMN_2243308",-0.0978758306757516,0.030984229190879,-3.15889190183773,0.00175642231937123,0.0743541502804165,"ACVR1B"
