,Probe_Id,module,Gene_symbol.y,NETWORK
22,ILMN_1656962,blue,RPS15,GR_DE_p
23,ILMN_1657204,blue,SAE1,GR_DE_p
25,ILMN_1657515,blue,RPS6KA5,GR_DE_p
70,ILMN_1665797,blue,CSE1L,GR_DE_p
74,ILMN_1667125,blue,RPS6KL1,GR_DE_p
99,ILMN_1671374,blue,C19orf53,GR_DE_p
101,ILMN_1671731,blue,AVPI1,GR_DE_p
109,ILMN_1672496,blue,DNAJA1,GR_DE_p
115,ILMN_1673604,blue,YIPF3,GR_DE_p
130,ILMN_1675124,blue,DDX17,GR_DE_p
141,ILMN_1676302,blue,FAM113A,GR_DE_p
160,ILMN_1678037,blue,HIRIP3,GR_DE_p
174,ILMN_1680644,blue,MIOS,GR_DE_p
190,ILMN_1685493,blue,TMCC3,GR_DE_p
236,ILMN_1694587,blue,EEF1B2,GR_DE_p
246,ILMN_1696407,blue,SRSF2,GR_DE_p
263,ILMN_1700044,blue,SAP130,GR_DE_p
279,ILMN_1701749,blue,UQCRFS1,GR_DE_p
280,ILMN_1701933,blue,SNCA,GR_DE_p
287,ILMN_1704236,blue,MAX,GR_DE_p
290,ILMN_1704795,blue,MARK3,GR_DE_p
296,ILMN_1706275,blue,C8orf33,GR_DE_p
300,ILMN_1706539,blue,KDM3B,GR_DE_p
304,ILMN_1708159,blue,PICK1,GR_DE_p
332,ILMN_1711270,blue,SUGP2,GR_DE_p
359,ILMN_1716080,blue,CBL,GR_DE_p
363,ILMN_1717326,blue,SLC29A3,GR_DE_p
367,ILMN_1718069,blue,MIS12,GR_DE_p
389,ILMN_1721035,blue,MS4A6A,GR_DE_p
409,ILMN_1724753,blue,NIN,GR_DE_p
421,ILMN_1726839,blue,DCUN1D5,GR_DE_p
430,ILMN_1730048,blue,C7orf26,GR_DE_p
435,ILMN_1731275,blue,DPEP3,GR_DE_p
445,ILMN_1733288,blue,C1RL,GR_DE_p
453,ILMN_1735474,blue,R3HCC1,GR_DE_p
455,ILMN_1735955,blue,RPL23AP7,GR_DE_p
489,ILMN_1741942,blue,STX16,GR_DE_p
495,ILMN_1744212,blue,INPP5D,GR_DE_p
502,ILMN_1745852,blue,WDR33,GR_DE_p
503,ILMN_1745887,blue,FBXO21,GR_DE_p
558,ILMN_1756311,blue,UFSP2,GR_DE_p
560,ILMN_1756982,blue,CLIC1,GR_DE_p
570,ILMN_1759419,blue,ILVBL,GR_DE_p
578,ILMN_1762327,blue,DHRS12,GR_DE_p
603,ILMN_1767481,blue,XRCC6BP1,GR_DE_p
604,ILMN_1767514,blue,ZC3H11A,GR_DE_p
607,ILMN_1767661,blue,LOC100129269,GR_DE_p
611,ILMN_1769245,blue,GLIPR1,GR_DE_p
623,ILMN_1771139,blue,FBXO31,GR_DE_p
638,ILMN_1774604,blue,PNKD,GR_DE_p
647,ILMN_1776104,blue,NDUFS5,GR_DE_p
649,ILMN_1777915,blue,STX6,GR_DE_p
659,ILMN_1780699,blue,THAP11,GR_DE_p
660,ILMN_1780773,blue,LOC400027,GR_DE_p
662,ILMN_1780806,blue,ANKRD36B,GR_DE_p
671,ILMN_1782419,blue,GNG11,GR_DE_p
691,ILMN_1788002,blue,MAPK14,GR_DE_p
714,ILMN_1790202,blue,C1orf35,GR_DE_p
736,ILMN_1795949,blue,CORO7,GR_DE_p
744,ILMN_1796738,blue,SPAST,GR_DE_p
762,ILMN_1798204,blue,IL21R,GR_DE_p
785,ILMN_1805007,blue,SEMA4F,GR_DE_p
787,ILMN_1805192,blue,ITPRIP,GR_DE_p
788,ILMN_1805737,blue,PFKP,GR_DE_p
797,ILMN_1808905,blue,AKAP3,GR_DE_p
798,ILMN_1809027,blue,ATP5SL,GR_DE_p
801,ILMN_1810254,blue,MEI1,GR_DE_p
810,ILMN_1811624,blue,THADA,GR_DE_p
822,ILMN_1815063,blue,PXK,GR_DE_p
823,ILMN_1815086,blue,NINJ1,GR_DE_p
867,ILMN_2091084,blue,C8orf37,GR_DE_p
