EID	ORDER	GROUP	Epigenome.Mnemonic	Standardized.Epigenome.name
E017	1	IMR90	LNG.IMR90	IMR90 fetal lung fibroblasts Cell Line
E002	2	ESC	ESC.WA7	ES-WA7 Cells
E008	3	ESC	ESC.H9	H9 Cells
E001	4	ESC	ESC.I3	ES-I3 Cells
E015	5	ESC	ESC.HUES6	HUES6 Cells
E014	6	ESC	ESC.HUES48	HUES48 Cells
E016	7	ESC	ESC.HUES64	HUES64 Cells
E003	8	ESC	ESC.H1	H1 Cells
E024	9	ESC	ESC.4STAR	ES-UCSF4  Cells
E020	10	iPSC	IPSC.20B	iPS-20b Cells
E019	11	iPSC	IPSC.18	iPS-18 Cells
E018	12	iPSC	IPSC.15b	iPS-15b Cells
E021	13	iPSC	IPSC.DF.6.9	iPS DF 6.9 Cells
E022	14	iPSC	IPSC.DF.19.11	iPS DF 19.11 Cells
E007	15	ES-deriv	ESDR.H1.NEUR.PROG	H1 Derived Neuronal Progenitor Cultured Cells
E009	16	ES-deriv	ESDR.H9.NEUR.PROG	H9 Derived Neuronal Progenitor Cultured Cells
E010	17	ES-deriv	ESDR.H9.NEUR	H9 Derived Neuron Cultured Cells
E013	18	ES-deriv	ESDR.CD56.MESO	hESC Derived CD56+ Mesoderm Cultured Cells
E012	19	ES-deriv	ESDR.CD56.ECTO	hESC Derived CD56+ Ectoderm Cultured Cells
E011	20	ES-deriv	ESDR.CD184.ENDO	hESC Derived CD184+ Endoderm Cultured Cells
E004	21	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells
E005	22	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells
E006	23	ES-deriv	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells
E062	24	Blood & T-cell	BLD.PER.MONUC.PC	Primary mononuclear cells from peripheral blood
E034	25	Blood & T-cell	BLD.CD3.PPC	Primary T cells from peripheral blood
E045	26	Blood & T-cell	BLD.CD4.CD25I.CD127.TMEMPC	Primary T cells effector/memory enriched from peripheral blood
E033	27	Blood & T-cell	BLD.CD3.CPC	Primary T cells from cord blood
E044	28	Blood & T-cell	BLD.CD4.CD25.CD127M.TREGPC	Primary T regulatory cells from peripheral blood
E043	29	Blood & T-cell	BLD.CD4.CD25M.TPC	Primary T helper cells from peripheral blood
E039	30	Blood & T-cell	BLD.CD4.CD25M.CD45RA.NPC	Primary T helper naive cells from peripheral blood
E041	31	Blood & T-cell	BLD.CD4.CD25M.IL17M.PL.TPC	Primary T helper cells PMA-I stimulated
E042	32	Blood & T-cell	BLD.CD4.CD25M.IL17P.PL.TPC	Primary T helper 17 cells PMA-I stimulated
E040	33	Blood & T-cell	BLD.CD4.CD25M.CD45RO.MPC	Primary T helper memory cells from peripheral blood 1
