EID	Standardized.Epigenome.name	15_Quies	1_TssA	14_ReprPCWk	9_Het	7_Enh	5_TxWk	2_TssAFlnk	10_TssBiv	4_Tx	13_ReprPC	12_EnhBiv	11_BivFlnk	8_ZNF/Rpts	6_EnhG	3_TxFlnk
E001	ES-I3 Cells	0.9668137	1.0583982	1.6342986	1.0768202	1.2130034	0.9336404	1.1549909	1.0040161	0.8476217	1.6878387	1.1614402	5.6053812	0.6257616	0.1967342	0.2191541
E002	ES-WA7 Cells	0.9936696	0.9607228	1.2530552	0.7379733	1.5702263	0.8641846	0.6397953	1.0889687	0.662083	1.8565207	0.3408316	0	0.4079967	NA	NA
E003	H1 Cells	1.010153	1.0679176	1.3438248	1.0674209	1.156579	0.9894648	0.7962902	0.9938711	0.7382438	1.6926525	3.0468249	1.6459674	0.7232243	0.2940636	0.1640824
E004	H1 BMP4 Derived Mesendoderm Cultured Cells	1.0174549	0.9146129	1.3415136	1.0752088	0.926376	0.8524491	0.2725291	1.8584482	0.6051437	1.5274463	3.5046729	2.3529412	0.2707093	5.1282051	NA
E005	H1 BMP4 Derived Trophoblast Cultured Cells	1.0402833	0.8407259	1.3886239	0.8644361	1.1803739	0.917419	1.4529815	2.6926961	0.9611585	0.9162027	1.7903646	1.3703994	1.239714	0.9971485	0.3364738
E006	H1 Derived Mesenchymal Stem Cells	1.0122926	0.8263403	1.2692594	0.76518	1.1152862	0.8673525	1.7464198	0.4293688	1.1046826	1.3420305	1.1097137	0.3443526	1.1701772	0.953389	1.6454134
E007	H1 Derived Neuronal Progenitor Cultured Cells	1.0456583	0.9537041	2.022849	1.0304216	1.2512576	0.8792259	1.1217622	0.998004	0.9188326	2.9869853	1.9512195	0.4042037	0.905951	0.3176116	0
E008	H9 Cells	1.006216	1.0483897	1.3138432	1.2868852	1.1480676	0.9647632	1.2487859	1.4820304	0.8213749	1.7186068	3.9525692	0	0.650065	0.4542014	0
E009	H9 Derived Neuronal Progenitor Cultured Cells	0.9640936	0.9523393	1.1730095	1.6917804	1.0414095	0.9391178	1.0307024	0.342818	0.8877107	1.597937	0.8333333	1.1679969	0.918054	1.2818869	0.3672805
E010	H9 Derived Neuron Cultured Cells	1.0174349	1.01797	1.1732269	1.2884505	0.9972476	0.8735015	0.8607276	0.5260389	0.8859532	1.6373566	1.2741351	0.5209238	0.9586681	1.3323859	0.1557269
E011	hESC Derived CD184+ Endoderm Cultured Cells	1.0483333	0.8530094	1.124384	0.9931791	1.2985625	0.9619559	1.0230179	1.945748	0.8648577	1.2507881	0.8315144	0	0.8113179	0.7667129	0.2699237
E012	hESC Derived CD56+ Ectoderm Cultured Cells	0.97301085	0.93627802	1.09214088	1.4496547	1.16996159	1.06196837	0.87320992	1.34523664	0.74793749	1.31523379	2.06838601	1.48423006	1.20211572	0.45541488	0.09083477
E013	hESC Derived CD56+ Mesoderm Cultured Cells	1.0212623	1.0504497	1.3634658	1.1293163	0.9453728	0.9505922	0.8792497	0.9447331	0.8727095	1.8173808	0.4893565	0	0.9816444	0.9664293	0.5934327
E014	HUES48 Cells	1.0020771	0.9729249	1.3293247	1.1854139	1.0962534	1.0636377	1.2660991	0.8829334	0.732618	1.576914	1.6383676	3.2340032	0.4710177	0.1561118	0.331565
E015	HUES6 Cells	0.964875	0.9870352	1.25587	0.9408865	1.1931213	1.087563	1.3793103	1.0629346	0.761782	1.988428	1.8171385	1.8268177	0.7216526	0.6251851	0.429203
E016	HUES64 Cells	0.9755722	1.0142915	1.3361851	1.0805035	1.1253134	1.108971	1.0866191	1.2916768	0.7647582	1.392495	2.1446078	1.182499	0.8612084	0.3904555	0.3982794
