EID	Standardized.Epigenome.name	15_Quies	1_TssA	14_ReprPCWk	9_Het	7_Enh	5_TxWk	2_TssAFlnk	10_TssBiv	4_Tx	13_ReprPC	12_EnhBiv	11_BivFlnk	8_ZNF/Rpts	6_EnhG	3_TxFlnk
E001	ES-I3 Cells	0.999	0.229	0.001	0.131	0.001	1	0.197	0.528	0.997	0.001	0.308	0.001	0.999	1	1
E002	ES-WA7 Cells	0.799	0.715	0.001	0.991	0.001	1	0.85	0.439	0.97	0.001	0.998	1	0.985	1	1
E003	H1 Cells	0.194	0.214	0.001	0.099	0.004	0.718	0.89	0.578	1	0.001	0.001	0.04	0.999	1	1
E004	H1 BMP4 Derived Mesendoderm Cultured Cells	0.005	0.87	0.001	0.142	0.836	1	1	0.009	0.89	0.001	0.001	0.425	0.999	0.001	1
E005	H1 BMP4 Derived Trophoblast Cultured Cells	0.001	0.958	0.001	0.996	0.001	1	0.012	0.002	0.868	0.707	0.019	0.222	0.014	0.537	0.999
E006	H1 Derived Mesenchymal Stem Cells	0.244	0.97	0.001	1	0.027	1	0.001	0.955	0.005	0.001	0.356	0.966	0.073	0.769	0.078
E007	H1 Derived Neuronal Progenitor Cultured Cells	0.001	0.733	0.001	0.339	0.001	1	0.377	0.621	0.922	0.001	0.266	0.953	0.79	1	1
E008	H9 Cells	0.264	0.266	0.001	0.001	0.038	0.975	0.275	0.059	1	0.001	0.003	1	0.991	0.982	1
E009	H9 Derived Neuronal Progenitor Cultured Cells	0.995	0.739	0.001	0.001	0.309	0.993	0.458	0.968	1	0.001	0.805	0.407	0.911	0.038	1
E010	H9 Derived Neuron Cultured Cells	0.131	0.448	0.001	0.001	0.533	1	0.93	0.903	1	0.001	0.178	0.967	0.694	0.009	1
E011	hESC Derived CD184+ Endoderm Cultured Cells	0.001	0.988	0.002	0.557	0.001	0.973	0.493	0.001	1	0.002	0.798	1	0.999	0.973	1
E012	hESC Derived CD56+ Ectoderm Cultured Cells	0.995	0.802	0.028	0.001	0.008	0.003	0.802	0.05	1	0.001	0.001	0.145	0.216	0.997	1
E013	hESC Derived CD56+ Mesoderm Cultured Cells	0.045	0.275	0.001	0.007	0.827	0.984	0.747	0.662	1	0.001	0.961	1	0.614	0.651	0.997
E014	HUES48 Cells	0.434	0.661	0.001	0.001	0.063	0.003	0.062	0.781	1	0.001	0.034	0.001	1	1	1
E015	HUES6 Cells	0.998	0.586	0.001	0.911	0.001	0.001	0.014	0.408	1	0.001	0.001	0.001	1	0.999	1
E016	HUES64 Cells	0.975	0.437	0.001	0.048	0.025	0.001	0.365	0.059	1	0.001	0.001	0.4	0.917	1	1
E017	IMR90 fetal lung fibroblasts Cell Line	0.002	0.542	0.001	0.004	1	1	0.011	0.974	0.364	0.001	0.973	0.218	0.734	1	0.541
E018	iPS-15b Cells	0.009	0.163	0.027	0.007	0.712	1	0.532	0.134	0.23	0.001	0.527	0.001	0.982	1	1
E019	iPS-18 Cells	0.012	0.028	0.001	0.914	0.176	0.695	0.925	0.822	1	0.001	0.48	0.031	0.997	1	1
E020	iPS-20b Cells	1	0.497	0.001	0.009	0.035	0.001	0.758	0.429	1	0.001	0.001	0.155	0.494	1	1
E021	iPS DF 6.9 Cells	0.971	0.765	0.001	0.075	0.133	0.69	0.611	0.641	0.974	0.001	0.608	0.369	0.965	0.858	0.641
E022	iPS DF 19.11 Cells	1	0.922	0.001	0.999	0.001	0.001	0.316	0.001	0.212	0.688	0.008	0.534	0.041	0.27	0.904
E023	Mesenchymal Stem Cell Derived Adipocyte Cultured Cells	0.001	0.002	0.001	0.166	1	1	1	0.988	0.999	0.001	1	1	1	0.998	1
E024	ES-UCSF4  Cells	0.005	0.446	0.001	0.771	0.001	0.996	0.166	0.001	1	0.001	0.002	0.933	0.363	1	1
E025	Adipose Derived Mesenchymal Stem Cell Cultured Cells	0.077	0.005	0.001	0.064	1	1	0.984	0.817	0.993	0.001	0.96	1	0.975	0.973	1
E026	Bone Marrow Derived Cultured Mesenchymal Stem Cells	0.001	0.028	0.001	0.863	1	1	0.998	0.927	0.197	0.001	0.438	0.19	0.989	1	0.999
E027	Breast Myoepithelial Primary Cells	0.992	0.793	0.001	0.08	0.014	1	0.668	0.063	0.999	0.001	0.146	0.736	0.001	0.971	0.997
E028	Breast variant Human Mammary Epithelial Cells (vHMEC)	0.001	0.405	0.001	1	1	1	0.312	1	1	0.099	0.176	1	0.878	0.705	1
E029	Primary monocytes from peripheral blood	0.431	0.6	0.001	0.628	0.988	1	0.305	0.245	1	0.001	0.72	0.998	0.651	0.001	1
E030	Primary neutrophils from peripheral blood	0.171	0.209	0.001	0.675	0.962	1	0.998	0.001	0.882	0.001	0.303	0.979	0.798	0.158	1
E031	Primary B cells from cord blood	0.001	0.7	0.001	0.72	0.589	1	0.682	0.197	1	0.001	0.996	0.946	0.967	1	1
E032	Primary B cells from peripheral blood	0.001	0.241	0.001	0.703	0.997	1	0.656	1	1	0.001	0.949	0.748	0.876	0.998	0.843
E033	Primary T cells from cord blood	0.005	0.157	0.001	0.98	0.983	1	0.349	0.99	1	0.001	1	0.97	0.73	0.807	0.992
E034	Primary T cells from peripheral blood	0.736	0.926	0.001	0.993	0.665	1	0.427	0.374	0.998	0.001	0.045	0.994	0.13	1	0.419
E035	Primary hematopoietic stem cells	0.004	0.308	0.001	0.992	0.998	1	0.876	0.589	1	0.001	0.941	0.903	0.988	0.991	1
E036	Primary hematopoietic stem cells short term culture	0.041	0.604	0.001	0.757	0.245	1	0.528	1	1	0.001	0.999	0.547	0.994	1	1
E037	Primary T helper memory cells from peripheral blood 2	0.001	0.303	0.001	0.301	1	1	0.018	1	1	0.069	0.93	0.12	0.191	0.874	1
E038	Primary T helper naive cells from peripheral blood	0.001	0.296	0.001	0.373	0.997	1	0.729	1	0.988	0.754	0.82	1	0.338	0.674	0.5
E039	Primary T helper naive cells from peripheral blood	0.454	0.095	0.001	0.973	0.999	1	0.225	0.23	0.952	0.001	0.177	0.996	0.405	0.995	1
E040	Primary T helper memory cells from peripheral blood 1	0.001	0.826	0.001	1	0.953	1	0.181	1	1	0.328	1	0.809	0.007	0.94	1
E041	Primary T helper cells PMA-I stimulated	0.729	0.556	0.001	0.609	0.992	1	0.571	0.875	1	0.001	0.497	0.991	0.964	0.321	1
E042	Primary T helper 17 cells PMA-I stimulated	0.788	0.002	0.001	0.502	0.936	1	0.566	1	0.956	0.001	0.498	0.994	0.429	0.001	1
E043	Primary T helper cells from peripheral blood	0.535	0.636	0.001	0.977	0.995	1	0.295	1	1	0.001	0.684	0.991	0.043	0.936	0.944
E044	Primary T regulatory cells from peripheral blood	0.001	0.529	0.001	0.993	0.999	1	0.106	0.993	1	0.001	0.831	0.663	0.585	1	0.479
