EID	Standardized.Epigenome.name	15_Quies	1_TssA	14_ReprPCWk	9_Het	7_Enh	5_TxWk	2_TssAFlnk	10_TssBiv	4_Tx	13_ReprPC	12_EnhBiv	11_BivFlnk	8_ZNF/Rpts	6_EnhG	3_TxFlnk
E001	ES-I3 Cells	1.1795078	0.7594832	1.2681708	1.2446962	1.1165782	0.7602165	0.7783832	0.6674711	0.7028668	0.9192021	1.2304663	1.7398869	0.6862044	1.3013773	2.8269883
E002	ES-WA7 Cells	1.0972483	0.7727218	1.1185059	1.4620202	1.0789626	0.7210091	2.0632737	0.8019246	0.7649995	0.9318288	0.6738544	3.6798528	0.337952	0	NA
E003	H1 Cells	1.248302	0.7417314	1.066982	1.0997282	0.9996951	0.7726796	0.8149959	0.5425936	0.6549042	0.7714839	0.6611133	0.8121447	0.7678362	1.1189998	2.3094688
E004	H1 BMP4 Derived Mesendoderm Cultured Cells	1.0899442	0.7737276	1.0210449	0.8300225	0.8899816	0.7483403	0.8882748	0.7430801	1.3175231	0.6824864	0.5116398	1.2804097	0.8496177	0	0
E005	H1 BMP4 Derived Trophoblast Cultured Cells	1.35414	0.6580733	1.0374285	1.2516115	0.9548235	0.7341985	0.7247502	0.9881423	0.6887429	0.7141657	0.3476246	0.9853604	0.5992597	0.6311737	0.7938608
E006	H1 Derived Mesenchymal Stem Cells	1.4552522	0.7079616	1.190652	1.3595766	0.9286562	0.7484171	0.5834829	1.1560694	0.6595299	1.2652153	0.911965	0.9923096	0.7144899	0.6778726	0.6885697
E007	H1 Derived Neuronal Progenitor Cultured Cells	1.2408878	0.7038045	0.9921977	0.8405356	0.9586531	0.7363948	0.6571872	0	0.6582759	0.4790419	0.4887586	0.643915	0.5634946	1.0699001	3.1217482
E008	H9 Cells	1.2513794	0.7140131	1.0094554	0.8321531	1.0356939	0.7326265	0.8812125	0.4871938	0.676481	0.9303562	0.7007708	1.0995052	0.8747312	0.9693053	1.7289821
E009	H9 Derived Neuronal Progenitor Cultured Cells	1.3802374	0.7036549	1.2293757	1.1025642	1.1154162	0.685164	0.9917183	0.7878669	0.6446582	1.1427147	0.8423417	0.8408661	0.700123	0.6839425	0.7236217
E010	H9 Derived Neuron Cultured Cells	1.3263332	0.6296552	1.2875722	0.9504807	1.1000908	0.7530813	0.9139898	0.5899705	0.652209	1.167823	1.0021923	1.1032657	0.4974256	0.6383724	1.0195165
E011	hESC Derived CD184+ Endoderm Cultured Cells	1.3280483	0.7632658	1.1304033	1.2713057	0.9534213	0.730851	1.0030965	0.7682761	0.6913706	0.8607028	0.7523039	1.7135024	0.8505351	0.5873922	0.6419074
E012	hESC Derived CD56+ Ectoderm Cultured Cells	1.2514213	0.6558511	1.0387254	2.1797482	0.8731862	0.7347908	1.0143917	0.6938422	0.6313937	0.9842174	0.5919495	0.317965	0.4281188	0.7919747	1.4010508
E013	hESC Derived CD56+ Mesoderm Cultured Cells	1.3862291	0.6826974	1.1601434	1.126305	1.0082202	0.720419	1.4585232	0.6577093	0.6534668	0.7298678	0	1.1574074	0.7721728	0.6611412	0.6211502
E014	HUES48 Cells	1.2370229	0.6796976	1.1364333	1.1874585	1.1152022	0.7987509	0.8976661	0.9284732	0.6589796	0.6531028	1.5278331	1.0428517	0.4931574	1.5572592	1.7905947
E015	HUES6 Cells	1.3056483	0.6900616	1.395202	1.1911061	1.0040089	0.7330685	1.0529576	0.5563009	0.6476634	0.8177752	1.1101713	1.0576415	0.7380376	0.6350466	1.4943388
E016	HUES64 Cells	1.3033414	0.7037368	1.0665326	1.1186121	1.1086475	0.7558955	0.9680049	0.5307728	0.6511865	0.81907	1.2444184	1.4986512	0.7368345	1.1020498	1.3066502
E017	IMR90 fetal lung fibroblasts Cell Line	1.4056074	0.7159889	1.0753249	1.6468766	0.9012685	0.7499612	0.8109941	1.497006	0.664337	1.5575225	1.0024504	0.6692321	0.5659195	0.7528142	0.9124088
E018	iPS-15b Cells	1.1849956	0.7361521	1.1783027	0.8859871	1.0756073	0.7918555	0.7324368	0.5711171	0.621201	0.7963076	1.4061872	1.0057471	1.0122824	1.8044725	1.5861396
E019	iPS-18 Cells	1.2749335	0.7447564	1.1604485	0.9614213	1.121549	0.7101774	1.0368962	0.4174784	0.649571	0.8355819	0.8397187	1.064396	0.6054316	1.2784221	1.2908778
E020	iPS-20b Cells	1.2769938	0.6760148	1.1927927	1.2019231	1.089183	0.7006392	1.0592419	0.6922982	0.6566385	0.8050314	1.125977	1.0343401	0.6693184	1.1630524	1.2731069
E021	iPS DF 6.9 Cells	1.1915745	0.7111934	1.0014251	0.6560951	0.9720102	0.7863729	0.5506002	0.6727212	0.6861373	0.7250755	1.1262847	0	0.9213406	1.4765233	4.8979592
E022	iPS DF 19.11 Cells	1.0928543	0.8101559	0.8417398	0.6955332	1.0389874	0.9840801	0.7589625	1.079525	0.5842576	1.025641	1.0817002	0.14244	0.902474	0.6950116	0.5209087
E023	Mesenchymal Stem Cell Derived Adipocyte Cultured Cells	1.266763	0.6626703	1.4068133	1.172057	0.9666239	0.7289608	0.9189923	1.1476664	0.6450732	1.6086501	0.7965589	2.6972353	0.6909091	0.6697599	0.532907
E024	ES-UCSF4  Cells	1.2384524	0.7189678	1.0531955	1.0153391	1.1740283	0.8802786	0.7760235	1.0116338	0.6502974	0.7643044	0.6025306	0.1217285	0.8081426	1.0408075	1.7508025
E025	Adipose Derived Mesenchymal Stem Cell Cultured Cells	1.3954943	0.6493106	1.275581	0.9129878	0.9927256	0.7763025	0.8668802	1.3828071	0.6432927	1.3290959	0.9576876	0.4120313	0.8588807	0.6043499	0.6882312
E026	Bone Marrow Derived Cultured Mesenchymal Stem Cells	1.3259367	0.6587579	1.3835689	1.1973726	0.9555516	0.6496756	0.9196338	0.7997867	0.6443619	1.5008958	2.2962113	0	0.5260389	0.8271726	0.7867821
E027	Breast Myoepithelial Primary Cells	1.2736238	0.6938147	1.4060273	1.5946808	1.1550285	0.8066011	0.8878757	0.5494505	0.6585418	1.5211819	0.6822213	0.6816633	0.7268574	0.6132559	0.4049239
E028	Breast variant Human Mammary Epithelial Cells (vHMEC)	1.2685005	0.6111172	1.362206	0.6937082	0.9847532	0.8123218	0.9844538	1.2383901	0.6675938	1.1632738	0.605877	0	0.9150701	1.0581629	0.8358874
E029	Primary monocytes from peripheral blood	1.3392133	0.7260433	1.1241113	1.244811	1.113799	0.7333951	0.8020377	0	0.608039	1.3097052	0.6079397	0	0.7149797	0.6527808	0.5477951
E030	Primary neutrophils from peripheral blood	1.302365	0.8809555	1.1816699	1.047049	1.1118595	0.7210956	0.9574876	0	0.5989511	0.8545983	0.7364605	0.7044114	0.4320525	0.6861256	0.3434774
E031	Primary B cells from cord blood	1.3964966	0.8488616	1.1638533	0.8831957	0.8933116	0.7534139	0.9522883	0.9689922	0.6220537	1.316181	0.2870813	0.4779353	0.9511504	1.0072546	0.896218
E032	Primary B cells from peripheral blood	1.3748314	0.7019699	1.1740425	0.9826871	0.8723766	0.7493015	0.7201787	1.0040161	0.6085574	1.2170966	0.7163894	1.5931373	0.9483167	0.9706748	0.5176653
E033	Primary T cells from cord blood	1.239129	0.6714232	1.3930333	1.0936384	1.0834373	0.8690723	0.8999471	0.6853227	0.6471565	0.9410879	0.9351038	0.3254679	0.61007	1.0990751	0.9730967
E034	Primary T cells from peripheral blood	1.2801072	0.7022934	1.2444853	1.3492675	1.056616	0.7492041	0.7651602	1.1814745	0.6204682	1.2738034	0.9006247	0.7509676	0.6243838	0.9463283	0.998602
E035	Primary hematopoietic stem cells	1.337238	0.6745407	1.4831769	1.0678334	1.0515593	0.7423661	0.7576897	0.5162623	0.6546631	0.5131626	0.6010518	0.3242542	0.5789195	0.6635863	1.8094089
E036	Primary hematopoietic stem cells short term culture	1.3981163	0.7291324	1.2525869	1.0033954	1.0522935	0.7824917	0.8882318	0	0.6218493	0.8290411	0.9225943	0.464738	0.6557305	0.8995713	1.1859412
E037	Primary T helper memory cells from peripheral blood 2	1.2032762	0.6236147	1.049863	1.0885279	1.024324	0.7349006	0.8175926	0	0.5698851	0.7745933	0.6266646	1.0121457	0.7069993	0.8482921	1.4498007
E038	Primary T helper naive cells from peripheral blood	1.2462427	0.6257321	0.9309222	1.4263074	0.9548982	0.7153014	0.9595529	0	0.5849572	0.5323869	1.3970817	0.8190008	0.7566378	1.1861391	1.3156452
