EID	Standardized.Epigenome.name	15_Quies	1_TssA	14_ReprPCWk	9_Het	7_Enh	5_TxWk	2_TssAFlnk	10_TssBiv	4_Tx	13_ReprPC	12_EnhBiv	11_BivFlnk	8_ZNF/Rpts	6_EnhG	3_TxFlnk
E001	ES-I3 Cells	0.001	1	0.001	0.001	0.018	1	0.935	0.992	1	0.787	0.187	0.081	0.977	0.093	0.001
E002	ES-WA7 Cells	0.001	1	0.002	0.001	0.179	1	0.155	0.796	0.933	0.764	0.894	0.02	0.957	1	1
E003	H1 Cells	0.001	1	0.117	0.043	0.529	1	0.909	0.991	1	0.988	0.979	0.822	0.969	0.299	0.002
E004	H1 BMP4 Derived Mesendoderm Cultured Cells	0.001	0.999	0.369	0.994	0.936	1	0.703	0.85	0.344	0.998	0.917	0.555	0.689	1	1
E005	H1 BMP4 Derived Trophoblast Cultured Cells	0.001	1	0.32	0.001	0.81	1	0.976	0.598	1	0.96	0.995	0.57	1	1	0.798
E006	H1 Derived Mesenchymal Stem Cells	0.001	1	0.001	0.001	0.915	1	1	0.601	1	0.007	0.685	0.581	0.995	1	0.89
E007	H1 Derived Neuronal Progenitor Cultured Cells	0.001	1	0.557	0.983	0.748	1	0.948	1	1	0.967	0.884	0.784	0.999	0.476	0.06
E008	H9 Cells	0.001	1	0.464	0.993	0.338	1	0.699	0.986	1	0.666	0.804	0.556	0.792	0.586	0.083
E009	H9 Derived Neuronal Progenitor Cultured Cells	0.001	1	0.001	0.072	0.063	1	0.553	0.759	1	0.047	0.773	0.722	1	0.993	0.94
E010	H9 Derived Neuron Cultured Cells	0.001	1	0.001	0.75	0.059	1	0.83	0.877	1	0.024	0.518	0.468	1	0.999	0.505
E011	hESC Derived CD184+ Endoderm Cultured Cells	0.001	1	0.001	0.001	0.782	1	0.509	0.864	1	0.972	0.851	0.153	0.983	0.999	0.979
E012	hESC Derived CD56+ Ectoderm Cultured Cells	0.001	1	0.22	0.001	0.984	1	0.507	0.972	1	0.585	0.987	0.992	0.992	0.81	0.318
E013	hESC Derived CD56+ Mesoderm Cultured Cells	0.001	1	0.001	0.007	0.446	1	0.019	0.906	1	0.97	1	0.525	0.992	1	0.978
E014	HUES48 Cells	0.001	1	0.005	0.001	0.025	1	0.791	0.697	1	1	0.025	0.498	1	0.004	0.007
E015	HUES6 Cells	0.001	1	0.001	0.001	0.473	1	0.357	0.997	1	0.988	0.347	0.443	0.99	0.998	0.034
E016	HUES64 Cells	0.001	1	0.084	0.014	0.05	1	0.606	1	1	0.989	0.201	0.067	0.991	0.308	0.141
E017	IMR90 fetal lung fibroblasts Cell Line	0.001	1	0.005	0.001	0.979	1	0.95	0.211	1	0.001	0.525	0.85	1	1	0.686
E018	iPS-15b Cells	0.001	1	0.001	0.935	0.102	1	0.982	0.999	1	0.998	0.049	0.531	0.52	0.002	0.059
E019	iPS-18 Cells	0.001	1	0.002	0.756	0.031	1	0.395	1	1	0.964	0.787	0.435	0.984	0.095	0.217
E020	iPS-20b Cells	0.001	1	0.001	0.001	0.093	1	0.348	0.985	1	0.99	0.339	0.472	0.996	0.207	0.136
E021	iPS DF 6.9 Cells	0.001	1	0.511	1	0.642	1	0.96	0.874	1	0.959	0.43	1	0.628	0.079	0.001
E022	iPS DF 19.11 Cells	0.001	0.992	0.985	1	0.255	0.844	0.96	0.533	1	0.47	0.42	1	0.869	1	1
E023	Mesenchymal Stem Cell Derived Adipocyte Cultured Cells	0.001	1	0.001	0.003	0.756	1	0.854	0.49	1	0.001	0.767	0.054	0.994	1	0.985
E024	ES-UCSF4  Cells	0.001	1	0.134	0.434	0.001	1	0.944	0.566	1	0.952	0.968	0.999	0.93	0.399	0.12
E025	Adipose Derived Mesenchymal Stem Cell Cultured Cells	0.001	1	0.001	0.892	0.551	1	0.952	0.149	1	0.001	0.629	0.912	0.881	1	0.949
E026	Bone Marrow Derived Cultured Mesenchymal Stem Cells	0.001	1	0.001	0.035	0.801	1	0.838	0.732	1	0.001	0.095	1	0.999	0.953	0.857
E027	Breast Myoepithelial Primary Cells	0.001	1	0.001	0.001	0.001	1	0.876	0.887	1	0.001	0.868	0.795	0.994	1	0.999
E028	Breast variant Human Mammary Epithelial Cells (vHMEC)	0.001	1	0.001	1	0.646	1	0.57	0.476	1	0.105	0.895	1	0.693	0.3	0.721
E029	Primary monocytes from peripheral blood	0.001	0.999	0.004	0.001	0.004	1	0.989	1	1	0.001	0.993	1	0.986	1	0.94
E030	Primary neutrophils from peripheral blood	0.001	0.862	0.001	0.218	0.008	1	0.748	1	1	0.959	0.907	0.874	1	0.999	1
E031	Primary B cells from cord blood	0.001	0.924	0.001	0.94	0.993	1	0.783	0.599	1	0.002	1	0.961	0.674	0.489	0.689
E032	Primary B cells from peripheral blood	0.001	0.999	0.001	0.61	0.997	1	1	0.65	1	0.093	0.954	0.08	0.66	0.671	0.961
E033	Primary T cells from cord blood	0.001	1	0.001	0.171	0.053	1	0.92	0.872	1	0.755	0.629	0.987	0.999	0.159	0.589
E034	Primary T cells from peripheral blood	0.001	0.999	0.001	0.001	0.134	1	0.998	0.414	1	0.001	0.79	0.889	0.988	0.827	0.544
E035	Primary hematopoietic stem cells	0.001	0.998	0.001	0.146	0.133	1	1	0.86	1	1	0.909	0.992	1	0.995	0.11
E036	Primary hematopoietic stem cells short term culture	0.001	0.999	0.001	0.494	0.13	1	0.951	1	1	0.909	0.653	0.982	1	0.915	0.178
E037	Primary T helper memory cells from peripheral blood 2	0.001	1	0.172	0.269	0.271	1	0.981	1	1	0.826	0.885	0.598	0.864	0.925	0.197
E038	Primary T helper naive cells from peripheral blood	0.001	1	0.894	0.002	0.848	1	0.684	1	1	0.961	0.183	0.716	0.879	0.07	0.209
E039	Primary T helper naive cells from peripheral blood	0.001	0.999	0.001	0.259	0.802	1	0.999	0.513	1	0.752	0.583	0.697	0.998	0.19	0.997
E040	Primary T helper memory cells from peripheral blood 1	0.001	1	0.53	0.001	0.651	1	0.973	1	1	0.976	0.945	0.259	0.983	0.149	0.947
E041	Primary T helper cells PMA-I stimulated	0.001	1	0.001	0.209	0.577	1	0.959	0.404	1	0.815	0.99	0.193	0.997	0.828	1
E042	Primary T helper 17 cells PMA-I stimulated	0.001	1	0.001	0.666	0.943	1	0.803	0.002	1	0.641	0.795	0.494	0.964	0.859	0.999
E043	Primary T helper cells from peripheral blood	0.001	1	0.001	0.053	0.154	1	1	1	1	0.516	0.037	0.901	0.998	0.777	0.619
E044	Primary T regulatory cells from peripheral blood	0.001	1	0.005	0.193	0.788	1	0.979	0.813	1	0.645	0.954	0.847	0.758	0.977	0.582
E045	Primary T cells effector/memory enriched from peripheral blood	0.001	1	0.394	0.431	0.374	1	0.738	0.005	1	0.925	0.77	0.724	0.889	0.95	0.14
E046	Primary Natural Killer cells from peripheral blood	0.001	0.999	0.001	0.131	0.541	1	0.992	1	1	0.975	0.986	0.997	0.687	0.818	0.424
E047	Primary T CD8+ naive cells from peripheral blood	0.001	1	0.001	0.053	0.713	1	0.892	1	1	0.958	0.192	0.77	1	0.763	0.101
E048	Primary T CD8+ memory cells from peripheral blood	0.001	1	0.016	0.771	0.552	1	0.698	1	1	0.347	0.897	0.938	0.437	0.222	0.464
E049	Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells	0.001	1	0.001	0.195	0.971	1	0.9	1	1	0.001	0.249	0.871	0.994	0.999	0.923
E050	Primary hematopoietic stem cells G-CSF-mobilized Female	0.001	0.988	0.001	0.001	0.577	1	0.998	0.47	1	0.32	0.672	0.999	1	0.945	0.811
E051	Primary hematopoietic stem cells G-CSF-mobilized Male	0.001	0.983	0.001	0.001	0.394	1	0.941	0.318	1	0.313	0.38	0.992	1	0.999	0.354
E052	Muscle Satellite Cultured Cells	0.001	1	0.001	0.075	0.833	1	0.92	0.207	1	0.001	0.656	0.955	0.81	1	0.98
E053	Cortex derived primary cultured neurospheres	0.001	0.998	0.001	0.002	0.035	1	0.998	0.828	1	0.089	0.887	0.947	0.987	0.162	0.525
E054	Ganglion Eminence derived primary cultured neurospheres	0.001	1	0.001	0.001	0.295	1	0.937	0.99	1	0.22	0.986	0.713	0.999	0.099	0.793
E055	Foreskin Fibroblast Primary Cells skin01	0.001	1	0.001	0.001	0.961	1	0.92	0.234	1	0.001	0.231	0.998	0.814	0.979	1
E056	Foreskin Fibroblast Primary Cells skin02	0.001	0.999	0.001	0.001	0.738	1	0.995	0.995	1	0.001	0.015	0.999	0.971	1	1
E057	Foreskin Keratinocyte Primary Cells skin02	0.001	1	0.001	0.267	0.082	1	0.98	0.995	1	0.001	0.106	0.997	0.965	0.727	1
E058	Foreskin Keratinocyte Primary Cells skin03	0.001	0.995	0.001	0.242	0.222	1	0.967	1	1	0.001	0.636	0.968	0.989	0.994	0.999
E059	Foreskin Melanocyte Primary Cells skin01	0.001	1	0.001	0.229	0.969	1	0.997	0.591	1	0.001	0.862	0.534	0.859	1	1
E061	Foreskin Melanocyte Primary Cells skin03	0.001	1	0.001	0.107	0.776	1	1	0.995	1	0.056	0.175	0.866	0.999	1	0.909
E062	Primary mononuclear cells from peripheral blood	0.001	0.944	0.001	0.089	0.491	1	1	0.286	1	0.594	0.664	0.871	0.998	0.862	0.62
E063	Adipose Nuclei	0.001	1	0.001	0.001	1	1	1	0.527	1	0.026	0.766	0.389	0.296	1	0.856
E065	Aorta	0.001	1	0.001	0.001	0.46	1	0.871	1	1	0.001	1	1	0.587	0.281	1
E066	Liver	0.001	1	0.001	0.001	0.872	1	0.966	0.559	1	0.001	0.545	1	0.196	1	0.817
E067	Brain Angular Gyrus	0.001	1	0.001	0.001	0.994	1	0.941	0.977	1	0.237	0.285	1	0.936	1	0.649
E068	Brain Anterior Caudate	0.001	1	0.017	0.082	0.703	1	0.94	0.953	1	0.963	1	0.907	0.997	1	0.299
E069	Brain Cingulate Gyrus	0.001	1	0.001	0.012	0.993	1	0.57	0.975	1	0.009	0.982	0.982	1	1	0.828
E070	Brain Germinal Matrix	0.001	1	0.001	0.679	0.508	1	0.771	0.99	1	0.837	0.981	0.997	0.995	0.914	0.703
E071	Brain Hippocampus Middle	0.001	1	0.001	0.114	0.755	1	0.69	0.999	1	0.355	0.98	0.994	0.986	1	0.584
E072	Brain Inferior Temporal Lobe	0.001	1	0.001	0.001	0.831	1	0.999	0.991	1	0.001	0.03	0.958	0.999	1	0.714
E073	Brain_Dorsolateral_Prefrontal_Cortex	0.001	1	0.001	0.539	0.903	1	0.539	0.634	1	0.099	0.559	1	0.955	1	0.763
E074	Brain Substantia Nigra	0.001	1	0.001	0.001	0.922	1	0.928	0.977	1	0.586	0.921	0.517	0.995	1	0.751
