overlap	pval	or	sex	GWAS
50.885	0.66	0.962955684386361	females	AD
58.066	0.985	0.774980194950573	males	AD
43.836	0.013	1.27748882197281	females	ADHD
51.007	0.574	0.980257611700355	males	ADHD
32.725	0.001	1.37509549274255	females	AUT
40.233	0.162	1.14334004424229	males	AUT
23.18	0.579	0.992234685073339	females	BP2012
28.992	0.443	1.03476821192053	males	BP2012
70.959	0.348	1.04285573359264	females	BP2018
75.017	0.06	1.17306743804738	males	BP2018
46.152	0.012	1.25671693534408	females	Cannabis
55.744	1	0.609931113662457	males	Cannabis
15.17	0.007	1.5161502966381	females	Cross2013
17.384	0.58	0.977910722503451	males	Cross2013
85.58	0.732	0.958167796214069	females	Cross2019
93.312	0.187	1.082390260631	males	Cross2019
117.587	0.003	1.18210346381828	females	EA
133.416	0.485	1.00437728608263	males	EA
93.457	0.843	0.930909402184962	females	Intelligence
110.354	0.144	1.08740960907625	males	Intelligence
29.746	0.001	1.88260606468097	females	MDD2012
37.533	0.722	0.932512722137852	males	MDD2012
59.569	0.051	1.1583206029982	females	MDD2018
76.105	0.926	0.854083174561461	males	MDD2018
55.65	0.001	1.23989218328841	females	MDD2019
75.864	0.896	0.856796372455974	males	MDD2019
39.054	0.542	0.998617299124289	females	PTSD
41.912	0.597	0.978240122160718	males	PTSD
94.228	0.542	0.997580337054803	females	SCZ
104.037	0.252	1.05731614713996	males	SCZ
59.475	0.969	0.823875577973939	females	T2D
61.904	0.957	0.823856293615921	males	T2D
43.083	0.068	1.18376157649189	females	TS
44.4	0.258	1.1036036036036	males	TS
