Brain Region,ENSG,logFC,AveExpr,p-value,Gene Name,Biotype,Description
Anterior Insula,ENSG00000134160,2.183920717,-1.796876259,0.007044551,TRPM1,protein_coding,"transient receptor potential cation channel, subfamily M, member 1 [Source:HGNC Symbol;Acc:7146]"
Anterior Insula,ENSG00000159339,1.534997678,-1.363545663,0.013516427,PADI4,protein_coding,"peptidyl arginine deiminase, type IV [Source:HGNC Symbol;Acc:18368]"
Anterior Insula,ENSG00000205578,1.447439304,-1.941067473,0.011084341,POM121B,pseudogene,POM121 transmembrane nucleoporin B (pseudogene) [Source:HGNC Symbol;Acc:34004]
Anterior Insula,ENSG00000143552,1.325434353,-1.020916829,0.010978415,NUP210L,protein_coding,nucleoporin 210kDa-like [Source:HGNC Symbol;Acc:29915]
Anterior Insula,ENSG00000244738,1.294626567,-1.33110536,0.007196683,RP11-373E16.3,sense_intronic,
Anterior Insula,ENSG00000203396,1.287056352,-2.312298837,0.001433131,RP11-217O12.1,pseudogene,
Anterior Insula,ENSG00000236711,1.27107708,-1.931709806,0.000749953,SMAD9-AS1,sense_intronic,SMAD9 antisense RNA 1 [Source:HGNC Symbol;Acc:39963]
Anterior Insula,ENSG00000228065,1.253201219,0.149568357,0.026456841,RP11-222A11.1,lincRNA,
Anterior Insula,ENSG00000224635,1.221440226,-0.716724693,0.006210865,RP4-564F22.5,lincRNA,
Anterior Insula,ENSG00000261645,1.217864061,-1.939161937,0.016275959,DISC1FP1,processed_transcript,DISC1 fusion partner 1 (non-protein coding) [Source:HGNC Symbol;Acc:33625]
Anterior Insula,ENSG00000238261,1.197941723,0.82408947,0.031539218,RP11-435B5.5,lincRNA,
Anterior Insula,ENSG00000105697,1.175661231,-1.174179968,0.033688859,HAMP,protein_coding,hepcidin antimicrobial peptide [Source:HGNC Symbol;Acc:15598]
Anterior Insula,ENSG00000231534,1.136486897,-2.283347668,0.006346178,FBXO36-IT1,sense_intronic,FBXO36 intronic transcript 1 (non-protein coding) [Source:HGNC Symbol;Acc:41489]
Anterior Insula,ENSG00000250771,1.120494521,-0.97193165,0.020948847,RP11-153M7.3,pseudogene,
Anterior Insula,ENSG00000242569,1.09467471,-1.81760892,0.030100955,RP11-435B5.3,lincRNA,
Anterior Insula,ENSG00000231429,1.089966129,-0.606680598,0.002883768,RP11-343N15.2,lincRNA,
Anterior Insula,ENSG00000245275,1.074971303,-1.778100324,0.012979576,SAP30L-AS1,antisense,SAP30L antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:26760]
Anterior Insula,ENSG00000250604,1.072280072,-1.893206059,0.013781145,RP11-597D13.8,antisense,
Anterior Insula,ENSG00000240677,1.047442991,-1.510956757,0.006350464,MYL6P4,pseudogene,"myosin, light chain 6 pseudogene 4 [Source:HGNC Symbol;Acc:37813]"
Anterior Insula,ENSG00000237973,1.024860028,7.122908673,0.002870475,hsa-mir-6723,pseudogene,hsa-mir-6723 [Source:miRBase;Acc:MI0022558]
Anterior Insula,ENSG00000187060,1.024176888,-1.177920759,0.02133429,RP11-187C18.3,pseudogene,
Anterior Insula,ENSG00000248174,1.000047127,-0.946378315,0.049735456,RP11-148L24.1,lincRNA,
Anterior Insula,ENSG00000239713,0.999883094,-0.171308002,0.005256815,APOBEC3G,protein_coding,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G [Source:HGNC Symbol;Acc:17357]"
Anterior Insula,ENSG00000271167,0.991758303,-1.263675657,0.010719204,LINC01109,lincRNA,long intergenic non-protein coding RNA 1109 [Source:HGNC Symbol;Acc:49235]
Anterior Insula,ENSG00000150337,0.989357495,-0.222683676,0.019952129,FCGR1A,protein_coding,"Fc fragment of IgG, high affinity Ia, receptor (CD64) [Source:HGNC Symbol;Acc:3613]"
Anterior Insula,ENSG00000254031,0.987708544,-1.046697817,0.025138675,RP11-326E22.1,antisense,
Anterior Insula,ENSG00000117226,0.981139052,1.388320475,0.017965099,GBP3,protein_coding,guanylate binding protein 3 [Source:HGNC Symbol;Acc:4184]
Anterior Insula,ENSG00000238260,0.97107972,-1.848613383,0.029289634,RP11-46F15.2,antisense,
Anterior Insula,ENSG00000257675,0.969607412,-1.875792369,0.021985595,RP11-641A6.9,pseudogene,
Anterior Insula,ENSG00000240685,0.955472966,-2.162019088,0.024959835,RP11-286H14.6,sense_overlapping,
Anterior Insula,ENSG00000207177,0.95475839,-1.801049237,0.007948566,SNORA51,snoRNA,Small nucleolar RNA SNORA51 [Source:RFAM;Acc:RF00432]
Anterior Insula,ENSG00000176998,0.95475329,0.064536756,0.00252949,HCG4,pseudogene,HLA complex group 4 (non-protein coding) [Source:HGNC Symbol;Acc:21241]
Anterior Insula,ENSG00000222445,0.951509369,-1.515816999,0.006885813,RN7SKP56,misc_RNA,"RNA, 7SK small nuclear pseudogene 56 [Source:HGNC Symbol;Acc:45780]"
Anterior Insula,ENSG00000257475,0.943999508,-1.748974755,0.009515909,RP11-983P16.2,sense_intronic,
Anterior Insula,ENSG00000241345,0.942451139,-0.592075644,0.006462868,RP4-630C24.3,antisense,
Anterior Insula,ENSG00000248851,0.940737874,-0.446629705,0.042045776,AC006427.2,pseudogene,
Anterior Insula,ENSG00000243819,0.929677754,-1.330624576,0.010844168,RN7SL832P,lincRNA,"RNA, 7SL, cytoplasmic 832, pseudogene [Source:HGNC Symbol;Acc:46848]"
Anterior Insula,ENSG00000163701,0.928961678,-1.84601207,0.003665605,IL17RE,protein_coding,interleukin 17 receptor E [Source:HGNC Symbol;Acc:18439]
Anterior Insula,ENSG00000176659,0.927734225,-1.503299338,0.015214496,C20orf197,protein_coding,chromosome 20 open reading frame 197 [Source:HGNC Symbol;Acc:26601]
Anterior Insula,ENSG00000228275,0.92728791,-1.693439808,0.006048204,ARMCX3-AS1,antisense,ARMCX3 antisense RNA 1 [Source:HGNC Symbol;Acc:41038]
Anterior Insula,ENSG00000223536,0.925838665,-1.503345865,0.015917431,AC008069.1,lincRNA,
Anterior Insula,ENSG00000108242,0.925410862,-1.550740688,0.012550634,CYP2C18,protein_coding,"cytochrome P450, family 2, subfamily C, polypeptide 18 [Source:HGNC Symbol;Acc:2620]"
Anterior Insula,ENSG00000254791,0.921284334,-1.028422954,0.009618703,FAR1-IT1,sense_intronic,FAR1 intronic transcript 1 (non-protein coding) [Source:HGNC Symbol;Acc:41485]
Anterior Insula,ENSG00000268100,0.920048062,-0.70676482,0.003070842,ZNF725P,pseudogene,"zinc finger protein 725, pseudogene [Source:HGNC Symbol;Acc:32461]"
