X	male.estimate	male.SE	male.pval	male.padj	male.fold_change	female.estimate	female.SE	female.pval	female.padj	female.fold_change	gene	Chr	P_start	P_end
ILMN_1343291	0.140296908740288	0.0181058423968909	9.2831287322402e-15	8.75399039450251e-11	-1.09701914077682	0.224138216067087	0.0218686291794448	1.19199439785665e-24	1.26089167405276e-20	-1.16359497090149	EEF1A1	6	74227642	74227786
ILMN_1343295	0.0169538320877827	0.0122577196637873	0.166629703201957	0.999885543678052	-1.01054977070846	-0.0512415442663062	0.0148630045983004	0.00056561217489741	0.99938540358928	1.03813885754867	GAPDH	12	6647072	6647121
ILMN_1651209	-0.0307424082282247	0.0247341778826917	0.213900237455623	0.999885543678052	1.02453643775226	-0.0159641363026138	0.0321551463650985	0.619561295496876	0.99938540358928	1.01991444709562	SLC35E2	1	1663959	1666174
ILMN_1651228	0.189317504126988	0.0245670621958759	1.29668644184195e-14	1.21875558668725e-10	-1.14181876277411	0.297401554237384	0.0354973758526344	5.37762002626924e-17	4.96461880825176e-13	-1.23132889961251	RPS28	19	8387224	8387273
ILMN_1651229	0.0627662410363094	0.022894582127973	0.00611533101620833	0.999885543678052	-1.0465748127891	0.124474322003129	0.0277883045754587	7.48608390754707e-06	0.041038711981173	-1.088366366406	IPO13	1	44433162	44433300
ILMN_1651254	-0.116083647574763	0.0161912724087441	7.52613025724902e-13	6.78104336178137e-09	1.07988190748375	-0.222660496001621	0.0205591923220257	2.47570320887435e-27	2.69604079446417e-23	1.16329928421251	LPP	3	188596347	188596397
ILMN_1651259	-0.0241722193075674	0.0242479763505986	0.318824829857008	0.999885543678052	1.01855178101062	-0.033465964652133	0.0330693006381064	0.31154047659314	0.99938540358928	1.03015695152037	UGP2	2	64068136	64068185
ILMN_1651262	0.0620702989047366	0.0146464980991877	2.256267574741e-05	0.140181904418658	-1.04707378532305	0.168190059940674	0.0197870750627147	1.89597142385604e-17	1.76818294988814e-13	-1.13055618007198	HNRNPAB	5	177637780	177637830
ILMN_1651278	0.0283263427059375	0.0179461017283897	0.114470985257107	0.999885543678052	-1.02312823942735	0.044983082667908	0.0242641139676783	0.0637544009738049	0.99938540358928	-1.03819105642663	SNIP1	1	38002334	38002383
ILMN_1651315	0.0563524101841703	0.0145496481825064	0.000107454622036269	0.61517771115764	-1.03770713855362	0.0369654075204974	0.0206602212746842	0.0735815237644488	0.99938540358928	-1.02693309394039	HMG20B	19	3578995	3579044
ILMN_1651336	0.0866491257577527	0.0222911853793873	0.000101429121354519	0.582304585696294	-1.06649469680835	0.00363583592696304	0.031161762902967	0.907116654998283	0.99938540358928	-1.00686936260899	MLYCD	16	83949443	83949492
ILMN_1651346	0.141602401485724	0.0206058216539033	6.33252974741092e-12	5.55806135930256e-08	-1.1107336677676	0.0854998726091062	0.0276916817954652	0.00201803507784689	0.99938540358928	-1.0727601205003	TMED7-TICAM2,TICAM2	5	114914376	114914425
ILMN_1651347	0.176353038947658	0.0186396830002823	3.04543218105409e-21	3.18308571563773e-17	-1.13270618107398	0.174383760267488	0.0235018365680553	1.17115332461126e-13	9.92552442608043e-10	-1.12538382445724	SERTAD2	2	64858906	64858955
ILMN_1651358	-0.0337969610044116	0.0242817882549183	0.163963409515512	0.999885543678052	1.05261259462536	-0.162506426013548	0.0281878963002433	8.1602827778876e-09	5.67221255890967e-05	1.15877446431137	HBE1	11	5289754	5289803
ILMN_1651364	0.0269678840613149	0.0236440929463294	0.254046425095083	0.999885543678052	-1.01763540098748	0.0885888850455173	0.0331254226066662	0.00748748624083576	0.99938540358928	-1.06196916990716	CATSPER3	5	134304968	134305017
ILMN_1651378	0.0579440354258944	0.0154082331331509	0.000169513600084488	0.944868806870936	-1.04282797426452	0.071295310147589	0.0236188195977751	0.00253961854327001	0.99938540358928	-1.05304507643172	AUP1	2	74753925	74754078
ILMN_1651385	-0.264130351466453	0.0254047608701162	2.56173611676688e-25	2.7922923672759e-21	1.20777045468759	-0.384031113563104	0.0358933109930044	1.02617473166319e-26	1.11021844218641e-22	1.30971660008995	MFN2	1	12073097	12073147
ILMN_1651405	0.142953663092373	0.0145327669357459	7.82780613879587e-23	8.35305193070907e-19	-1.10583831661523	0.176287173370348	0.0231917877650257	2.93225597490715e-14	2.53053690634487e-10	-1.13437065810803	BRD9	5	863887	863936
ILMN_1651429	0.229594294625698	0.026214307223017	1.98114608662219e-18	1.99025935862065e-14	-1.17526362569684	0.352477991630017	0.0368194131630109	1.03690927861635e-21	1.0529813724349e-17	-1.28500895099119	SELM	22	31500833	31500882
